KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,Ground,Aboard,Fatalities,Year,Aboard3
817.01,3.1504,1145,12,119.2141,0.0058,23.9716,0.0011,64.4,4.6,0.033,0.002,0.03,0.028,2.1,0.129,370,2.70E-05,3,NoObs,,0,22,22,1945,22
818.01,2.4193,1491,33,109.3409,0.0023,8.11429,0.00013,21,59,0.04,0.021,0.7,1.4,3.6,0.066,591,5.00E-05,2,NoObs,,0,11,11,1945,11
821.01,4.3866,1138,21,107.0084,0.0072,21.8131,0.0015,34,171,0.034,0.033,0.6,2.2,3.9,0.154,623,1.20E-04,2,,,0,24,23,1945,24
822.01,3.0811,15030,257,105.18019,0.00031,7.919371,0.000017,15.49,0.73,0.1279,0.0015,0.73,0.18,11.5,0.078,783,-,3,,,0,29,29,1945,29
823.01,1.4379,5028,58,103.22827,0.00086,1.0284369,0.0000061,4.2,1.3,0.0753,0.0015,0.6,0.18,8.7,0.021,1874,-,3,,,0,20,20,1945,20
824.01,3.7671,17920,80,106.6086,0.0014,15.3755,0.00048,39.69,0.58,0.1221,0.0013,0.028,0.028,12.5,0.117,604,1.70E-05,2,,,0,15,2,1945,15
825.01,3.2182,779,21,109.9535,0.004,8.10341,0.00023,16,66,0.028,0.026,0.6,1.9,2.4,0.074,671,3.20E-05,2,,,0,23,23,1945,23
826.01,2.9092,705,40,104.134,0.0022,6.365997,0.000094,17.35,0.39,0.02535,0.00045,0.017,-,1.7,0.066,749,5.30E-05,2,,,0,26,26,1945,26
827.01,2.5968,792,30,107.7764,0.0028,5.97569,0.00012,12,40,0.03,0.017,0.8,1.4,3.1,0.066,960,1.30E-04,2,,,0,31,31,1945,31
829.01,4.2648,823,27,107.7772,0.0041,18.64902,0.00053,34.8801,0.0027,0.03,0.34,0.015,0.01,2.6,0.14,651,5.40E-05,2,,,0,59,59,1945,59
829.02,4.1408,371,17,71.7806,0.0073,9.75222,0.00032,14,76,0.02,0.022,0.7,2.1,1.9,0.091,807,-,4,,,0,25,25,1945,25
829.03,4.5589,899,22,96.8416,0.0056,38.5596,0.001,67.1,2.6,0.02809,0.00086,0.008,0.033,2.7,0.228,510,-,4,,,0,31,31,1945,31
830.01,2.6064,21628,1241,103.04717,0.00007,3.5256346,0.0000018,11.745,0.012,0.13434,0.0001,0.0003,-,7.7,0.042,767,2.10E-05,2,1,,0,14,14,1945,14
833.01,1.5895,2225,80,106.2753,0.00075,3.951399,0.000021,13.5,4,0.04987,0.00071,0.6,0.18,4.3,0.05,1012,1.00E-04,2,,,0,5,5,1945,5
834.01,8.1433,3244,156,104.3739,0.0012,23.65422,0.00021,23.3,0.1,0.05283,0.00022,0.02,0.014,4.9,0.163,564,3.70E-05,2,,,0,50,45,1945,50
834.02,6.441,413,23,73.3322,0.0074,13.23311,0.0004,14,66,0.02,0.02,0.5,2.2,1.9,0.111,683,-,4,,,0,30,26,1945,30
834.03,4.6117,254,18,67.8245,0.0074,6.15542,0.0002,10.44,0.18,0.01505,0.00052,0.03,0.01,1.4,0.066,886,-,4,,,0,44,44,1945,44
834.04,3.3378,130,14,67.1598,0.0078,2.090925,0.000069,5.63,0.2,0.01504,0.00044,0.083,-,1.4,0.032,1273,-,4,,,0,27,22,1945,27
835.01,2.941,919,32,113.9362,0.0028,11.76296,0.00024,24,77,0.031,0.021,0.7,1.6,1.6,0.092,485,1.30E-04,2,,,0,24,24,1945,24
837.01,2.285,815,21,107.6615,0.0035,7.95367,0.00019,26.7,1.3,0.02694,0.00099,0.0149,-,1.8,0.072,625,5.80E-05,2,,,0,20,20,1945,20
837.02,2.3116,338,13,68.9218,0.006,4.14459,0.00011,15.96,0.96,0.0213,0.00091,0.0707,-,1.4,0.047,774,-,4,,,0,29,29,1945,29
838.01,2.0055,4352,92,106.0116,0.00083,4.859373,0.000027,12.5,3.7,0.07226,0.00097,0.7,0.21,7.8,0.057,1066,-,3,,,0,44,44,1945,44
840.01,1.991,9578,454,102.9486,0.00017,3.0403244,0.0000034,12,1.7,0.0957,0.0031,0.62,0.35,10.7,0.04,1098,6.80E-05,2,NoObs,,0,28,28,1945,28
841.01,3.47,2885,35,107.0016,0.003,15.33611,0.00033,34.98,0.96,0.0485,0.0011,0.015,0.01,4,0.118,583,5.50E-05,2,NoObs,,0,27,27,1945,27
841.02,4.7489,4056,41,86.4334,0.0028,31.32865,0.00044,54.1,1.1,0.05959,0.00099,0,0.027,4.9,0.191,458,4.90E-05,2,NoObs,,0,28,28,1945,28
842.01,3.0857,1131,32,108.3511,0.0028,12.71862,0.00026,28,87,0.032,0.022,0.5,1.8,2.8,0.097,565,6.20E-05,2,,,0,14,14,1945,14
842.02,4.258,1503,31,131.5836,0.0034,36.06539,0.00066,69.7,1.9,0.03655,0.00081,0.0255,-,3.1,0.195,399,-,4,,,0,21,17,1945,21
843.01,2.8728,2842,149,104.4417,0.00059,4.1904,0.000017,9.1,4.6,0.0531,0.0049,0.65,0.65,6.3,0.052,1169,-,2,,,0,17,15,1945,17
844.01,3.0333,1932,68,104.987,0.0012,3.709881,0.000031,9.73,0.14,0.04117,0.00047,0.0006,-,2.8,0.046,878,2.70E-05,2,3,,0,8,8,1945,8
845.01,5.7133,931,35,110.2954,0.0042,16.3294,0.00046,16,26,0.0323,0.0095,0.7,1.1,3.6,0.129,701,5.30E-05,2,,,0,12,1,1945,12
846.01,4.1032,24577,550,119.71309,0.00025,27.807488,0.000048,44.82,0.76,0.16567,0.0008,0.769,0.098,15.3,0.182,534,5.50E-05,3,,,0,11,3,1946,11
847.01,11.0533,3316,91,136.8967,0.003,80.8711,0.0024,59.0063,0.0017,0.054,0.033,0.0064,-,5.1,0.368,372,2.90E-05,2,,,0,18,18,1946,18
849.01,3.315,670,28,103.9345,0.0034,10.35545,0.00024,18,62,0.027,0.018,0.7,1.5,2.8,0.093,750,5.20E-05,2,,,0,25,23,1946,25
850.01,2.7054,9550,317,109.52167,0.00029,10.526305,0.000022,32.5,6.8,0.0924,0.0042,0.45,0.49,8.7,0.093,704,3.30E-05,2,,,0,17,17,1946,17
851.01,2.722,3674,58,102.9729,0.0013,4.583526,0.000042,13.63,0.25,0.05609,0.00073,0.028,0.035,5.5,0.055,989,1.40E-04,2,,,0,7,7,1946,7
852.01,2.9127,505,20,104.9044,0.0039,3.76179,0.0001,10.2,0.44,0.0221,0.00075,0.0256,-,2.4,0.048,1086,3.40E-05,2,,,0,11,11,1946,11
853.01,2.7276,962,29,102.6947,0.0025,8.20371,0.00014,21,79,0.029,0.023,0.5,2,2.9,0.077,733,3.30E-05,2,,,0,21,21,1946,21
853.02,3.2261,450,11,76.4118,0.0093,14.49679,0.00059,30,377,0.021,0.054,0.5,3.6,2.1,0.112,607,-,4,,,0,20,20,1946,20
